tipoDocumento,numeroDocumento,nombreCompleto,caracterizacion
CC,36352566,María García,EMBARGAR
CC,92900972,Pedro Martínez,EMBARGAR
CE,42695134,Juan López,INHABILITAR
CE,73567209,José García,EMBARGAR
CC,29158231,María Pérez,INHABILITAR
CE,28956755,Juan Pérez,EMBARGAR
CE,51994648,Juan González,EMBARGAR
CC,74174765,Ana Martínez,EMBARGAR
CE,23235313,María Sánchez,EMBARGAR
CE,17480180,José Pérez,INHABILITAR
CE,68895177,Juan Rodríguez,EMBARGAR
CE,87784297,Patricia Martínez,INHABILITAR
CE,71297336,Pedro García,INHABILITAR
PA,97975407,José Pérez,INHABILITAR
PA,64422902,Carmen García,EMBARGAR
CE,52405628,Ana López,EMBARGAR
PA,65467730,Pedro López,INHABILITAR
PA,67329603,José Sánchez,INHABILITAR
PA,15327379,Carmen Pérez,EMBARGAR
CE,92297047,Pedro Rodríguez,EMBARGAR
PA,02631793,Carmen García,EMBARGAR
CE,02818178,Juan Sánchez,INHABILITAR
PA,94645215,Pedro García,INHABILITAR
CE,13028238,José González,EMBARGAR
CC,82950872,José García,EMBARGAR
PA,69802344,José García,INHABILITAR
PA,04742992,Luis García,EMBARGAR
CC,45602051,Pedro Pérez,INHABILITAR
CE,41394933,Juan García,INHABILITAR
PA,93155819,María González,EMBARGAR
PA,06517488,Pedro García,EMBARGAR
CC,74085753,Pedro Martínez,INHABILITAR
CE,67458044,Ana Pérez,EMBARGAR
CE,28670617,Pedro Pérez,EMBARGAR
PA,72665035,Patricia López,EMBARGAR
CE,78146390,María Pérez,INHABILITAR
PA,37556806,Ana García,EMBARGAR
CC,37000814,Ana Pérez,EMBARGAR
CC,85031393,María García,INHABILITAR
CE,27364423,Carmen García,EMBARGAR
PA,67636439,Patricia Rodríguez,INHABILITAR
PA,19595220,María Rodríguez,INHABILITAR
CE,39109819,Ana Sánchez,EMBARGAR
CE,78750222,Ana Sánchez,EMBARGAR
CC,83026815,María Pérez,EMBARGAR
PA,49665465,Carmen González,EMBARGAR
CC,57871768,Pedro López,EMBARGAR
CE,81338476,José Rodríguez,EMBARGAR
CE,86173595,Ana García,INHABILITAR
CE,25940683,Carmen González,INHABILITAR
CE,68782915,Juan González,EMBARGAR
CC,83450154,Juan Pérez,INHABILITAR
PA,58810743,Patricia López,EMBARGAR
CE,76001488,Patricia Rodríguez,EMBARGAR
CE,12930690,Pedro Martínez,EMBARGAR
CC,39457090,Luis García,EMBARGAR
PA,51382098,Pedro García,INHABILITAR
PA,90879265,Carmen Rodríguez,INHABILITAR
PA,60398125,Pedro Rodríguez,EMBARGAR
CC,65954604,Ana Sánchez,INHABILITAR
PA,93313021,María González,INHABILITAR
CC,74071109,Pedro Pérez,EMBARGAR
CC,79601625,Juan Martínez,INHABILITAR
CC,74637380,María Sánchez,EMBARGAR
CC,84369953,Pedro González,INHABILITAR
CE,51115434,María Sánchez,INHABILITAR
CE,79668783,Ana Rodríguez,INHABILITAR
CC,63785047,Patricia Rodríguez,EMBARGAR
CE,77313820,Ana López,INHABILITAR
PA,81408894,Luis Rodríguez,INHABILITAR
PA,61924062,Carmen Martínez,INHABILITAR
CC,05446988,Juan García,INHABILITAR
CC,68654984,María Rodríguez,EMBARGAR
CC,15392941,Patricia Rodríguez,EMBARGAR
PA,70986537,Ana López,INHABILITAR
CE,21871855,Carmen López,EMBARGAR
PA,73571160,Pedro Pérez,INHABILITAR
CE,83147764,Juan García,EMBARGAR
CE,19523359,Luis López,INHABILITAR
PA,27216602,Juan Martínez,INHABILITAR
CE,30915743,José García,EMBARGAR
CE,25115683,María López,INHABILITAR
CC,92991589,Patricia Sánchez,INHABILITAR
CE,60370557,José González,EMBARGAR
CE,94369263,Pedro López,INHABILITAR
PA,39773040,María Rodríguez,EMBARGAR
PA,19780785,Luis Rodríguez,INHABILITAR
PA,54157389,Carmen González,INHABILITAR
PA,77350490,María Sánchez,INHABILITAR
PA,37559030,José Pérez,EMBARGAR
CC,79083478,José García,EMBARGAR
CE,70876682,José García,INHABILITAR
CC,50060313,Pedro Martínez,EMBARGAR
CE,56416590,Pedro Pérez,INHABILITAR
CE,50606966,Ana Martínez,EMBARGAR
CC,66830633,Carmen Sánchez,EMBARGAR
PA,13633734,Juan López,EMBARGAR
CE,25282116,Ana González,EMBARGAR
CC,46534459,Pedro López,INHABILITAR
CE,46731994,José Sánchez,EMBARGAR
CC,85969741,Patricia Sánchez,INHABILITAR
CE,33074466,José García,EMBARGAR
PA,98311392,Carmen Pérez,INHABILITAR
PA,81284028,José Martínez,EMBARGAR
PA,35949716,José Pérez,INHABILITAR
CC,89757990,Ana Pérez,EMBARGAR
CC,99771024,Ana Rodríguez,INHABILITAR
CC,72567978,Carmen Pérez,EMBARGAR
PA,62300572,Carmen González,EMBARGAR
PA,91451222,Juan López,INHABILITAR
PA,45576553,José Rodríguez,INHABILITAR
CC,59440512,Juan García,EMBARGAR
CC,26232019,María Martínez,EMBARGAR
CE,62740371,José Pérez,INHABILITAR
PA,67744753,Pedro García,INHABILITAR
CC,92769133,Juan Sánchez,INHABILITAR
CC,16705039,Carmen Sánchez,EMBARGAR
CE,31589708,Patricia Rodríguez,INHABILITAR
PA,00531357,Pedro Martínez,EMBARGAR
PA,23777239,Luis González,INHABILITAR
PA,02917480,Ana García,INHABILITAR
PA,80754808,Juan Martínez,EMBARGAR
CE,29127804,José López,EMBARGAR
CE,32091617,Carmen Sánchez,INHABILITAR
PA,80265007,Pedro González,INHABILITAR
PA,86348068,María López,EMBARGAR
CE,35345409,José González,INHABILITAR
CE,22633861,Carmen García,INHABILITAR
CE,66738700,Luis Martínez,EMBARGAR
PA,24630948,Pedro López,INHABILITAR
CE,34317294,Juan Rodríguez,EMBARGAR
CC,46583391,Patricia García,EMBARGAR
PA,60661812,Patricia Sánchez,INHABILITAR
CE,32243559,Pedro Martínez,EMBARGAR
PA,69767773,Ana Rodríguez,INHABILITAR
CC,02643464,Ana Sánchez,EMBARGAR
CE,71875015,María Pérez,EMBARGAR
CC,89799787,Pedro García,EMBARGAR
CC,75237608,Carmen Rodríguez,INHABILITAR
CE,64231451,Carmen Martínez,EMBARGAR
CC,34468424,Luis López,INHABILITAR
CE,05188681,José González,INHABILITAR
CC,24673529,Luis García,INHABILITAR
PA,70474456,Juan Pérez,INHABILITAR
PA,99132727,Carmen Rodríguez,EMBARGAR
CC,59959790,José López,INHABILITAR
CC,95441452,Pedro Sánchez,INHABILITAR
CC,61558882,Luis López,EMBARGAR
CC,23285449,Pedro Rodríguez,EMBARGAR
CE,87275752,Pedro Rodríguez,INHABILITAR
CE,11917537,José Rodríguez,INHABILITAR
PA,22621350,Carmen Pérez,EMBARGAR
CC,63710920,Patricia Rodríguez,EMBARGAR
CC,95069785,José González,INHABILITAR
CC,18613727,María Martínez,INHABILITAR
CE,40279003,María González,INHABILITAR
CC,34135686,Luis Martínez,INHABILITAR
PA,40325003,Ana López,EMBARGAR
PA,78701347,María García,INHABILITAR
CC,42447520,Juan Martínez,INHABILITAR
PA,28403451,Ana García,EMBARGAR
PA,05185055,Ana López,INHABILITAR
PA,67404486,Ana Rodríguez,INHABILITAR
PA,10799558,Luis González,EMBARGAR
CC,24114174,Ana Martínez,INHABILITAR
PA,18869475,José Martínez,INHABILITAR
CC,68859405,Carmen Sánchez,INHABILITAR
CE,54580651,Pedro Pérez,EMBARGAR
CE,83166625,Pedro Sánchez,EMBARGAR
CC,86990144,Ana Sánchez,EMBARGAR
CE,36358795,Ana Martínez,EMBARGAR
PA,65350463,Luis González,EMBARGAR
PA,32031654,María López,EMBARGAR
PA,63516749,Juan Martínez,INHABILITAR
CE,05903729,Ana Pérez,EMBARGAR
PA,02602919,María Pérez,EMBARGAR
PA,26837790,María Martínez,EMBARGAR
PA,07556739,Carmen Pérez,EMBARGAR
CC,34272759,Ana Martínez,INHABILITAR
CC,91441276,Patricia Pérez,INHABILITAR
CE,59740705,José Rodríguez,INHABILITAR
PA,96999693,Carmen Pérez,EMBARGAR
PA,36337122,Ana Martínez,INHABILITAR
CC,82449582,Patricia Rodríguez,INHABILITAR
CE,76845736,José González,EMBARGAR
CC,91795388,José Sánchez,INHABILITAR
CC,35068214,José Rodríguez,INHABILITAR
CE,67516682,María Sánchez,EMBARGAR
PA,42506887,María Rodríguez,EMBARGAR
CC,59967636,María Rodríguez,INHABILITAR
CC,53975799,María López,EMBARGAR
CC,56549133,José González,INHABILITAR
PA,55834087,Pedro García,INHABILITAR
CE,85075945,José Martínez,EMBARGAR
PA,20438545,Patricia López,EMBARGAR
CE,71874610,Juan Rodríguez,INHABILITAR
PA,13067185,Carmen Rodríguez,INHABILITAR
CC,86905553,Patricia González,INHABILITAR
CE,09559960,Ana Martínez,EMBARGAR
PA,02442752,Pedro López,EMBARGAR
CC,52613089,Carmen Rodríguez,EMBARGAR
CC,31271075,Pedro Martínez,EMBARGAR
PA,49917120,José González,EMBARGAR
CE,46005543,Luis López,EMBARGAR
CE,91294948,Patricia Rodríguez,EMBARGAR
PA,17208654,Luis Sánchez,EMBARGAR
CC,17789254,Juan González,EMBARGAR
CE,78582114,Luis Martínez,EMBARGAR
PA,97202122,Patricia Rodríguez,INHABILITAR
PA,11053176,Luis González,EMBARGAR
CE,23326163,Juan Sánchez,EMBARGAR
CC,17662352,José Sánchez,INHABILITAR
CE,24312701,Carmen López,INHABILITAR
PA,52253538,Ana Sánchez,EMBARGAR
CC,72160704,Luis García,EMBARGAR
CC,69890033,José Martínez,INHABILITAR
PA,50632594,María González,EMBARGAR
CE,81863159,Carmen Pérez,INHABILITAR
CC,42092658,José López,EMBARGAR
PA,98067325,Patricia Sánchez,EMBARGAR
PA,96581818,Luis García,EMBARGAR
PA,61086197,Carmen Pérez,INHABILITAR
CE,70983267,Luis López,EMBARGAR
CE,13624929,Pedro López,INHABILITAR
CC,11235797,Luis Rodríguez,EMBARGAR
CC,09679667,Carmen García,EMBARGAR
CE,23971260,María Rodríguez,EMBARGAR
PA,70952596,Carmen López,EMBARGAR
CE,10332067,Juan López,INHABILITAR
CE,56269073,Carmen Sánchez,INHABILITAR
PA,45784226,José González,EMBARGAR
PA,60786583,Pedro González,INHABILITAR
CC,83309081,Juan López,INHABILITAR
CE,43394814,Ana González,EMBARGAR
PA,39800844,Luis González,INHABILITAR
CC,72744266,Pedro Rodríguez,EMBARGAR
CE,42209357,Ana Sánchez,INHABILITAR
CE,19978787,Juan Rodríguez,EMBARGAR
CE,92213325,María González,EMBARGAR
CC,26637034,Carmen Pérez,INHABILITAR
CE,42944525,Juan García,INHABILITAR
PA,26570797,Luis Rodríguez,INHABILITAR
PA,26894900,Juan López,EMBARGAR
CC,43482919,José López,EMBARGAR
CE,60295954,María Pérez,INHABILITAR
CE,85995833,Luis Martínez,INHABILITAR
PA,55470286,Ana García,INHABILITAR
CC,09061218,Pedro García,INHABILITAR
CC,34512075,Luis González,INHABILITAR
CE,91536089,Luis García,EMBARGAR
PA,22269636,Juan Rodríguez,EMBARGAR
CC,44520708,Luis García,INHABILITAR
CC,25647833,Patricia González,INHABILITAR
PA,18410051,José Sánchez,EMBARGAR
PA,33568614,Juan Rodríguez,INHABILITAR
PA,95697658,María Sánchez,INHABILITAR
CC,47860503,Patricia Sánchez,INHABILITAR
CC,36729241,Pedro Sánchez,INHABILITAR
CC,95968324,Luis García,EMBARGAR
PA,45348686,Pedro González,INHABILITAR
CC,91512915,Juan Pérez,INHABILITAR
PA,76310100,Ana García,EMBARGAR
CE,46908532,María Martínez,INHABILITAR
CE,38388703,Patricia Sánchez,INHABILITAR
PA,08885150,José Rodríguez,EMBARGAR
CC,50256586,Juan Sánchez,EMBARGAR
CC,29189749,Ana Sánchez,INHABILITAR
PA,97507649,Patricia Rodríguez,INHABILITAR
PA,35828283,María Pérez,EMBARGAR
CC,47672543,Juan García,INHABILITAR
CE,96019374,Carmen Pérez,INHABILITAR
CC,56597937,Pedro García,EMBARGAR
CC,66246455,Juan Sánchez,INHABILITAR
CC,59904224,Ana Pérez,INHABILITAR
CC,89619343,José González,EMBARGAR
PA,40665735,Carmen Pérez,INHABILITAR
PA,57608951,Pedro Pérez,INHABILITAR
CE,77084236,Juan López,EMBARGAR
CC,78049565,María García,EMBARGAR
CE,19468046,Ana González,INHABILITAR
CE,95693005,Patricia González,EMBARGAR
PA,62749026,Luis Pérez,EMBARGAR
CC,33090495,Pedro Pérez,INHABILITAR
CE,35917966,María Martínez,EMBARGAR
CC,40625499,Pedro Rodríguez,INHABILITAR
CC,98494755,Ana López,EMBARGAR
PA,45817407,Ana Sánchez,INHABILITAR
PA,38303592,Pedro Rodríguez,EMBARGAR
PA,92869105,Juan Sánchez,INHABILITAR
CC,10975850,Patricia García,EMBARGAR
PA,79084863,Carmen Martínez,INHABILITAR
PA,74468144,Patricia Pérez,INHABILITAR
CC,50259686,José Pérez,INHABILITAR
CC,02535182,Carmen García,INHABILITAR
PA,17899097,Juan González,EMBARGAR
CE,21620199,Pedro López,EMBARGAR
CC,33147516,José Sánchez,INHABILITAR
CC,79764130,Ana Pérez,EMBARGAR
CE,71063894,Patricia López,EMBARGAR
CC,19756742,Ana Pérez,INHABILITAR
PA,72459246,Carmen García,EMBARGAR
PA,86823386,Luis Rodríguez,INHABILITAR
CE,00054150,José Sánchez,INHABILITAR
